Band,Pop Rockstars,Punk Rock,Hardcore,Emo,Alternative Rock,Grunge,Heavy Metal,Nu-Metal
The Beatles,1,0,0,0,0,0,0,0
The Beach Boys,1,0,0,0,0,0,0,0
The Rolling Stones,1,0,0,0,0,0,0,0
The Who,1,1,0,0,0,0,0,0
Pink Floyd,1,0,0,0,0,0,0,0
Eagles,1,0,0,0,0,0,0,0
Velvet Underground,1,0,0,0,0,0,0,0
Blondie,1,0,0,0,0,0,0,0
The Doors,1,0,0,0,0,0,0,0
Bob Marley and the Wailers,1,0,0,0,0,0,0,0
Genesis,1,0,0,0,0,0,0,0
Dire Straits,1,0,0,0,0,0,0,0
Aerosmith,1,0,0,0,0,0,1,0
Queen,1,0,0,0,0,0,0,0
Abba,1,0,0,0,0,0,0,0
Talking Heads,1,0,0,0,0,0,0,0
The Police,1,0,0,0,0,0,0,0
Fleetwood Mac,1,0,0,0,0,0,0,0
Television,1,0,0,0,0,0,0,0
DEVO,1,0,0,0,1,0,0,0
U2,1,0,0,0,1,0,0,0
The Cure,1,0,0,0,1,0,0,0
R.E.M.,1,0,0,0,1,0,0,0
Billy Idol,1,1,0,0,0,0,0,0
Duran Duran,1,0,0,0,0,0,0,0
Bon Jovi,1,0,0,0,0,0,0,0
Guns'n'Roses,1,0,0,0,0,0,0,0
No Doubt,1,0,0,0,0,0,0,0
Green Day,1,1,0,0,0,0,0,0
Red Hot Chilli Peppers,1,0,0,0,0,0,0,0
Pixies,1,0,0,0,1,0,0,0
Radiohead,1,0,0,0,1,0,0,0
Nirvana,0,0,0,0,1,1,0,0
Smashing Pumpkins,0,0,0,0,1,1,0,0
The Cranberries,1,0,0,0,1,0,0,0
Marylin Mansion,1,0,0,0,1,0,1,0
Blur ,1,0,0,0,1,0,0,0
Oasis,1,0,0,0,1,0,0,0
The Verve,1,0,0,0,1,0,0,0
Blink 182,1,1,0,0,1,0,0,0
Metallica,1,0,0,0,0,0,1,0
The White Stripes,1,0,0,0,0,0,0,0
Coldplay,1,0,0,0,1,0,0,0
Muse,1,0,0,0,1,0,0,0
Placebo,1,0,0,0,1,0,0,0
Foo Fighters,1,0,0,0,1,1,0,0
MC5,0,1,0,0,0,0,0,0
The Stooges,0,1,0,0,0,0,0,0
The Dictators,0,1,0,0,0,0,0,0
Ramones,0,1,0,0,0,0,0,0
Sex Pistols,0,1,0,0,0,0,0,0
The Clash,0,1,0,0,0,0,0,0
Buzzcocks,0,1,0,0,0,0,0,0
The Cramps,0,1,0,0,0,0,0,0
The Misfits,0,1,0,0,0,0,1,0
Dead Kennedys,0,1,0,0,0,0,0,0
The Descendents,0,1,0,0,0,0,0,0
The Exploited,0,1,0,0,0,0,0,0
Bad Religion,0,1,0,0,0,0,0,0
Black Flag,0,1,1,0,0,0,0,0
Agnostic Front,0,1,1,0,0,0,0,0
Minor Threat,0,1,1,0,0,0,0,0
Gorilla Biscuits,0,1,1,0,0,0,0,0
Sick Of it All,0,1,1,0,0,0,0,0
Fugazi,0,1,1,0,0,0,0,0
NOFX,0,1,0,0,0,0,0,0
The Vandals,0,1,0,0,0,0,0,0
The Offspring,0,1,0,0,0,0,0,0
Propagandhi,0,1,0,0,0,0,0,0
"Screeching Weasel
",0,1,0,0,0,0,0,0
Good Riddance,0,1,0,0,0,0,0,0
No Use For A Name,0,1,0,0,0,0,0,0
Pennywise,0,1,0,0,0,0,0,0
Jawbreaker,0,1,0,0,0,0,0,0
Turbonegro,0,1,0,0,0,0,1,0
Satanic Surfers,0,1,0,0,0,0,0,0
The Casualties,0,1,0,0,0,0,0,0
Lagwagon,0,1,0,0,0,0,0,0
Unwritten Law,0,1,0,0,0,0,0,0
AFI,0,1,0,0,0,0,0,0
Rancid,0,1,0,0,0,0,0,0
Less Than Jake,0,1,0,0,0,0,0,0
MxPx,0,1,0,0,0,0,0,0
Strung Out,0,1,0,0,0,0,0,0
Reel Big Fish,0,1,0,0,0,0,0,0
Millencolin,0,1,0,0,0,0,0,0
The Hives,0,1,0,0,1,0,0,0
The Ataris,0,1,0,0,0,0,0,0
Alkaline Trio,0,1,0,0,0,0,0,0
At The Drive-In,0,1,0,0,0,0,0,0
Death Cab For Cutie,0,1,0,0,0,0,0,0
Thrice,0,1,0,0,0,0,0,0
Mars Volta,0,1,0,0,0,0,0,0
Refused,0,0,1,0,0,0,0,0
Lifetime,0,0,1,1,0,0,0,0
Youth of Today,0,0,1,0,0,0,0,0
Integrity,0,0,1,0,0,0,0,0
Converge,0,0,1,0,0,0,0,0
Downset,0,0,1,0,0,0,0,0
Snapcase,0,0,1,0,0,0,0,0
Ten Yard Fight,0,0,1,0,0,0,0,0
Ensign,0,0,1,0,0,0,0,0
Poison The Well,0,0,1,1,0,0,0,0
Saosin,0,0,0,1,0,0,0,0
Matchbook Romance,0,0,0,1,0,0,0,0
Fall out Boy,0,0,0,1,0,0,0,0
a Static Lullaby,0,0,0,1,0,0,0,0
The Used,0,0,0,1,0,0,0,0
